"Page URL","Link Text","Broken Link"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2337","www.annaporter.ca","http://www.annaporter.ca/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3115","Why Do Actors Train? Embodiment for Theatre Makers and Thinkers","https://www.bloomsbury.com/us/why-do-actors-train-9781350236967/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3115","Encountering Ensemble","https://www.bloomsbury.com/us/encountering-ensemble-9781408155172/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/opioid-crisis-vancouver","VANDU","http://www.vandu.org/"
